Label,size(bit),timestamp(tiks),timestamp(us),platform
Allocazione,32,1814,,FPGA
Popolazione,32,7646,,FPGA
Caricamento,32,9698,,FPGA
Settaggio,32,9886,,FPGA
Inizializzazione,32,10106,,FPGA
ComputazioneBTPU,32,10210,,FPGA
LetturaRisultato,32,11278,,FPGA
ComputazioneSerialeFast,32,1067898,,FPGA
freeMemory,32,1068490,,FPGA
Allocazione,64,1750,,FPGA
Popolazione,64,24478,,FPGA
Caricamento,64,31490,,FPGA
Settaggio,64,31698,,FPGA
Inizializzazione,64,31918,,FPGA
ComputazioneBTPU,64,32022,,FPGA
LetturaRisultato,64,35558,,FPGA
ComputazioneSerialeFast,64,7179050,,FPGA
freeMemory,64,7179678,,FPGA
Allocazione,128,1770,,FPGA
Popolazione,128,92082,,FPGA
Caricamento,128,119158,,FPGA
Settaggio,128,119386,,FPGA
Inizializzazione,128,119606,,FPGA
ComputazioneBTPU,128,119982,,FPGA
LetturaRisultato,128,133502,,FPGA
ComputazioneSerialeFast,128,52323386,,FPGA
freeMemory,128,52324014,,FPGA
Allocazione,256,1790,,FPGA
Popolazione,256,362438,,FPGA
Caricamento,256,471274,,FPGA
Settaggio,256,471522,,FPGA
Inizializzazione,256,471742,,FPGA
ComputazioneBTPU,256,474406,,FPGA
LetturaRisultato,256,528614,,FPGA
ComputazioneSerialeFast,256,398437346,,FPGA
freeMemory,256,398437974,,FPGA
